,text_length,binoculars_score,percentage,perplexity,entropy_rate,rates
gpt_4o106.txt,124942,0.9596412777900696,99.83,44.84,0.4266529745033894,"[0.6353139008531232, 0.6589060141307492, 0.650185197849515, 0.0, 0.0, 0.0, 0.6759761151870854, 0.7285520781758099, 0.0, 0.0, 0.0, 0.5757332135915192, 0.6888793171051695, 0.6616721032780145, 0.0, 0.6721170918030196, 0.6914594940216833, 0.6068058578159142, 0.7534194712298168, 0.0, 0.6324837739530328, 0.6909685368913996, 0.7017049750103114, 0.0, 0.6417825488318942, 0.0, 0.0, 0.6425073804230305, 0.0, 0.0, 0.0, 0.0, 0.6992956728002522, 0.7094407504552395, 0.6591571289035572, 0.6751214202249017, 0.7120247383518467, 0.6389042517160269, 0.715645957610897, 0.7011416356768767, 0.6735733287482797]"
gpt_4o107.txt,75639,0.7540983557701111,99.79,38.72,0.6234745659032652,"[0.7139315798086117, 0.6993116794152903, 0.8803401011967146, 0.5449409964844701, 0.546466859829998, 0.8133395112230357, 0.8626536802877587, 0.772905186649828, 0.6247110824549369, 0.0, 0.0, 0.5458578068607697, 0.7815116969344762, 0.7635596742781827, 0.5373446499967622, 0.7357239395268717, 0.5529253408501621, 0.6073464648939804, 0.8525949407164662, 0.5423333897186357, 0.7481701065668622, 0.7730999201853689, 0.7543058231609323, 0.0, 0.0, 0.0, 0.7218365401629239, 0.6109183516853264, 0.5443117799728101, 0.7592850067615209, 0.7287109918195437, 0.5306398733979902, 0.8675371821446639, 0.7423953000021897, 0.8353978562499407, 0.7585564733814658, 0.6977165242126958, 0.735815111158192, 0.8571437213074096, 0.7385475292802349, 0.7802705294568573]"
gpt_4o108.txt,100817,0.9016393423080444,99.61,34.13,0.3863253468332231,"[0.0, 0.0, 0.7176428720713885, 0.0, 0.6118282811360146, 0.7152970601228119, 0.553034628449855, 0.0, 0.0, 0.0, 0.0, 0.5561844825250462, 0.0, 0.7172042672701769, 0.0, 0.6150427919698267, 0.5682010554323133, 0.0, 0.5800145267664721, 0.5960845817778212, 0.6476110620936781, 0.0, 0.0, 0.5613039721558292, 0.5998948429489483, 0.0, 0.0, 0.0, 0.0, 0.5819952219852813, 0.749649711926899, 0.5166702552750841, 0.6131549494025609, 0.7553041151931075, 0.6528354318959267, 0.6205963165240488, 0.6577624106604913, 0.6196610441744247, 0.7020503949524132, 0.6307328679510923, 0.6995820755006323]"
gpt_4o109.txt,151196,0.8564593195915222,86.39,72.29,0.35681875098070687,"[0.0, 0.0, 0.0, 0.0, 0.6973084896508379, 0.5577233981914861, 0.0, 0.0, 0.0, 0.0, 0.6199323621509548, 0.6493974703476993, 0.0, 0.0, 0.6414687287271709, 0.638338430469981, 0.686078356027454, 0.6706048427497944, 0.6792779190363156, 0.6450373625690182, 0.0, 0.0, 0.6753141424855755, 0.0, 0.0, 0.6417443501615239, 0.0, 0.6374362954017216, 0.0, 0.0, 0.6282861753128154, 0.0, 0.5794095296409052, 0.5658684494374941, 0.6509238136015906, 0.6827405800506066, 0.6302637123295, 0.6443001829674196, 0.6167424906758957, 0.5944312991589162, 0.5969404090643055]"
gpt_4o10_0.9.txt,137833,0.8202247023582458,,0.0,0.36312190413510936,"[0.6311479358990905, 0.5248251204276814, 0.5408228265994655, 0.5835001735526144, 0.0, 0.0, 0.6098284217144341, 0.0, 0.0, 0.0, 0.5841162544669309, 0.0, 0.5511539404943593, 0.5560514449162435, 0.5293416409130366, 0.0, 0.504979224394023, 0.5585474985443853, 0.5568781111973037, 0.5474580619000493, 0.5535548956141421, 0.5474571614693462, 0.0, 0.5439078030187722, 0.5548810136464093, 0.0, 0.5897265557400508, 0.0, 0.5434761084302923, 0.0, 0.0, 0.5202748827853865, 0.0, 0.0, 0.5306798949938213, 0.5357196819095145, 0.5296644516423548, 0.562848478514708, 0.5703512860862356, 0.50928154754468, 0.5175236531241546]"
gpt_4o10_1.05.txt,15478,,,0.0,0.0,
gpt_4o10_1.1.txt,180133,1.0277777910232544,,0.0,1.2839380307807096,"[1.1367533132746936, 1.5046632400069575, 1.0718534340222652, 1.1693808915815889, 1.5330672567073866, 1.3176607324386693, 1.544479732622548, 1.1067401105900572, 1.5489664255549436, 1.5447160405580755, 1.1321325512921006, 1.1128563325074685, 1.092904808487671, 1.1316732081721947, 1.1094450551812005, 1.191192150318953, 1.1032428141136814, 1.0829116914532047, 1.338150369837325, 1.1365035256914737, 1.234199702972725, 1.1642224494680231, 1.4680292555025252, 1.01598165707018, 1.0984888964829167, 1.0428582877401165, 1.3390221332716588, 1.529457327746631, 1.1566246022759579, 1.1302857947829617, 1.1621966019750933, 1.1497199421117115, 1.487299201329015, 1.3754421381985167, 1.245218430160251, 1.566165196586986, 1.4993106473916977, 1.5678616913311036, 1.557709422105316, 1.4406017800025805, 1.5014704190906578]"
gpt_4o11.txt,150091,0.9025641083717346,100,38.21,0.3578977892756267,"[0.0, 0.0, 0.0, 0.0, 0.5754173479612457, 0.4952550828400996, 0.5153816428019884, 0.5550384758608438, 0.506351042445518, 0.513529108668819, 0.0, 0.6019412947390406, 0.526130008438209, 0.5062492630795653, 0.5014627554409958, 0.0, 0.4729005281235323, 0.0, 0.5035312445607086, 0.0, 0.5255414294848181, 0.0, 0.0, 0.0, 0.0, 0.5053923446771708, 0.569673303836976, 0.502932599626921, 0.0, 0.5112750978779315, 0.5037180289500209, 0.5177301042462731, 0.47965777582193175, 0.5574091830009849, 0.602527309162712, 0.5219835356562451, 0.5003663157286445, 0.5787270872561264, 0.5009124337725525, 0.5038605774782164, 0.5189144387626057]"
gpt_4o110.txt,151240,0.8531073331832886,99.6,29.34,0.37929945052747666,"[0.0, 0.0, 0.759716154620726, 0.0, 0.0, 0.6433463211580626, 0.6331061470906348, 0.577465174102423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6226469033868398, 0.6351067877096129, 0.7272468750753195, 0.0, 0.7104249328577622, 0.6630437695936705, 0.561158959081714, 0.7469361493662552, 0.0, 0.6969924887258265, 0.0, 0.0, 0.0, 0.7160282375725608, 0.0, 0.0, 0.7067093300199695, 0.0, 0.6808838778928603, 0.6273361950779964, 0.7386280117735241, 0.7143705475490121, 0.6149535790348843, 0.7397894419920031, 0.7178657921973071, 0.713641745214435, 0.6038800505331416]"
gpt_4o111.txt,150591,0.8911917209625244,95.79,39.25,0.4586396727874153,"[0.5509034023211768, 0.0, 0.5492312248509734, 0.5930531352989157, 0.5938914412670251, 0.0, 0.0, 0.5562188044587826, 0.5573076075794484, 0.5471329531818737, 0.0, 0.5426243552405332, 0.5397195808245688, 0.5624703217386934, 0.5389702661487561, 0.5742211926382267, 0.7142466175933212, 0.0, 0.640354445103286, 0.543944236458853, 0.5558335077490282, 0.0, 0.5924625008350257, 0.6077467215979493, 0.559616051997509, 0.6353232626765171, 0.6714125105480391, 0.0, 0.0, 0.0, 0.5202467132060078, 0.5523506066621086, 0.5834333701367043, 0.5430455228007655, 0.72768847873873, 0.6817373619154375, 0.5513522363290098, 0.5931398190531465, 0.6065637762801668, 0.597419054414014, 0.6205655046394297]"
