,perplexity,prediction,percentage,entropy_rate,rates
25,89.95,Human,1.21,0.4790290208087841,"[0.0, 0.8385956019730322, 0.6296603604876506, 0.0, 0.0, 0.9583742107695769, 0.6150234090812702, 0.0, 0.0, 0.0, 0.681744574916659, 0.0, 0.6943988271841033, 0.0, 0.6361297882903261, 0.9056728250948755, 0.6394836275242677, 0.875618573279929, 0.0, 0.6541818437082016, 0.0, 0.8554680860081028, 0.0, 0.0, 0.62921915580256, 0.0, 0.735617369437179, 0.0, 0.9087017368944502, 0.0, 0.6362779947009475, 0.6558860389662806, 0.8734422707902797, 0.9040901024299733, 0.6290648529067585, 0.7489582102380978, 0.8098325416686231, 0.7870068308944538, 0.7350396442416777, 0.8804502270486765, 0.7222511488221994]"
26,105.11,Human,4.7,0.3638126371823597,"[0.0, 0.6477309168603367, 0.0, 0.7597725731655652, 0.0, 0.9280626854442836, 0.0, 0.0, 0.0, 0.6524092073759071, 0.0, 0.6097354809008634, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8486430205814245, 0.7647355676862639, 0.64252607756285, 0.9254656124097015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7231165619951067, 0.6522814208509302, 0.0, 0.0, 0.0, 0.0, 0.701199955968422, 0.8913909886836123, 0.8034712850389504, 0.9005510625591711, 0.6250929202591397, 0.7906478063181749, 0.7531367190475107, 0.6246777203575066, 0.671670541411025]"
27,66.69,Human,10.87,0.3754207041805068,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7539761684924269, 0.7576765178096733, 0.6504146526481182, 0.0, 0.0, 0.8814205871261827, 0.0, 0.0, 0.0, 0.7363231210287108, 0.0, 0.0, 0.758775075177018, 0.0, 0.7533451082022389, 0.0, 0.0, 0.7939949858428218, 0.7870449759800184, 0.7761027795722312, 0.0, 0.0, 0.7794359236485532, 0.0, 0.7398396092883959, 0.8501671032125604, 0.7556854439718274, 0.7493978968565508, 0.8139291439422774, 0.7697679782654675, 0.7565347106231531, 0.7679784107241118, 0.7604386789884424]"
28,133.28,Human,3.22,0.5004245175757956,"[0.748122138684902, 0.8496397010092884, 0.743023126891454, 0.0, 0.753261385488705, 0.0, 0.0, 0.0, 0.7191486878467049, 0.8048259438793421, 0.6831918533717097, 0.7477578359711238, 0.0, 0.0, 0.0, 0.7743011100318946, 0.0, 0.0, 0.75309464027526, 0.0, 0.7996829516898024, 0.0, 0.7763416432108842, 0.8788833131714676, 0.7426826417847697, 0.0, 0.8711186921646635, 0.8542717786429802, 0.0, 0.7645673889543336, 0.0, 0.0, 0.740363024276634, 0.8819035323093195, 0.8102423988175449, 0.767120146739042, 0.7167895722896933, 0.7597238889662571, 0.8369451603510963, 0.8890387194428602, 0.8513639443458844]"
29,64.44,Human,14.27,0.5969946419471335,"[0.6232339273650518, 0.6265840923289023, 0.9021118972950257, 0.8687294142052202, 0.0, 0.6142147348681439, 0.6592016691707887, 0.1871762550761158, 0.6589610317067267, 0.9446036662727448, 0.0, 0.628329574954698, 0.0, 0.7163254024191096, 0.5631861886051608, 0.0, 0.6156223133128161, 0.6556949108090159, 0.6755312000903124, 0.9618196512397552, 0.6719256538858775, 0.6592883185265305, 0.0, 0.653532225700365, 0.653532225700365, 0.0, 0.8347035415505586, 0.6589106501823951, 0.7718856875618921, 0.6377238388683498, 0.6451741283841412, 0.0, 0.9200631513091394, 0.9748979500530032, 0.8665935288780201, 0.6304944042828761, 0.7871958949416555, 0.9179502150555368, 0.6535465430812593, 0.8492751084356118, 0.7887613237153067]"
30,84.95,Human,11.7,0.33859102926714235,"[0.0, 0.0, 0.8001877511411147, 0.0, 0.0, 0.0, 0.674729385862289, 0.713983287221708, 0.6460832826918019, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5893120474977036, 0.0, 0.8854002263652696, 0.0, 0.0, 0.0, 0.6849393334297097, 0.0, 0.0, 0.0, 0.0, 0.8049805176545829, 0.0, 0.0, 0.8568465161481246, 0.0, 0.6696504743327025, 0.668128607442646, 0.6294471606666051, 0.7408093560251515, 0.6454360375249845, 0.9132116900855437, 0.6822425609541218, 0.826472511448057, 0.7559144649973618, 0.6944569884633622]"
31,62.56,Human,5.24,0.4244586947279505,"[0.0, 0.6719024696606755, 0.0, 0.0, 0.7086863362394596, 0.7442195007107657, 0.0, 0.0, 0.7400364041592716, 0.830616674466431, 0.0, 0.0, 0.6341846171531174, 0.0, 0.7071236035108582, 0.0, 0.0, 0.0, 0.7039687612140663, 0.0, 0.0, 0.8586892136966272, 0.0, 0.0, 0.0, 0.7146375322299379, 0.7715849237034306, 0.7653634726884255, 0.8346610207416183, 0.748646589451465, 0.0, 0.0, 0.7372792622400476, 0.7476857563355079, 0.7484557613550863, 0.7110877841281892, 0.7087143920400296, 0.7554315597949351, 0.8822373531070847, 0.854409944110114, 0.8231835511088262]"
32,43.08,Human,3.4,0.6143262664292606,"[0.7084352219020795, 0.722393338514864, 0.7172726853389583, 0.7300517708944005, 0.7175148228789187, 0.7535040955798897, 0.0, 0.7814502732276214, 0.7122219552048206, 0.6402743084432408, 0.0, 0.7113838252652886, 0.7128066141365116, 0.700717162010078, 0.0, 0.7542149354723946, 0.7158111768294538, 0.0, 0.7750123624463601, 0.0, 0.7197177883333065, 0.7460636520753651, 0.7220814558519192, 0.0, 0.8431316134339605, 0.739304229950557, 0.8137146006096688, 0.7085911285218992, 0.7337926307766736, 0.709552827373984, 0.0, 0.7109557950893366, 0.6896339592036328, 0.7504164966699322, 0.8792791166501378, 0.7255451496505501, 0.7211641124510827, 0.7766606990985178, 0.773918112798638, 0.8645022285080272, 0.7062867784076188]"
33,77.12,Human,10.48,0.4657769430786187,"[0.4540639074007019, 0.0, 0.0, 0.0, 0.0, 1.0105516372534626, 0.0, 0.7231231186907957, 0.0, 0.0, 0.0, 0.5313484191875403, 0.7841050935951692, 0.0, 0.7123725478164433, 0.4443432700932412, 0.8935230138396724, 0.0, 0.5288323529310281, 0.0, 0.5717034308621196, 0.0, 0.0, 0.6610559847075271, 0.0, 0.9140195996611558, 0.0, 1.0152979061480663, 1.0360161719703895, 0.0, 0.0, 0.8456800971368106, 0.8232089101971204, 1.0185095250962548, 0.7736244166914041, 0.6986927343604457, 0.9263515417743875, 1.014344607535739, 0.8758820587927513, 0.9894936688504182, 0.8507106516307242]"
34,66.03,Human,5.72,0.3817406668360721,"[0.0, 0.767031929520969, 0.0, 0.0, 0.7058900079858801, 0.0, 0.0, 0.0, 0.6227712359586802, 0.0, 0.0, 0.0, 0.6939066529421392, 0.0, 0.8647219376285956, 0.7107798402897906, 0.0, 0.0, 0.0, 0.7090130006095582, 0.0, 0.7179168197800857, 0.7009918938784575, 0.0, 0.8145245445207279, 0.0, 0.0, 0.7513416677787507, 0.0, 0.0, 0.0, 0.7565707976357652, 0.8125383667840088, 0.7188758542568521, 0.7587572493110094, 0.8663212157797308, 0.697075516052118, 0.7140989179344083, 0.8189861476303972, 0.7085123536731784, 0.7407413903278536]"
35,76.75,Human,9.05,0.48018061684022384,"[0.9010370197252049, 0.0, 0.7580738238640125, 0.7235896998393856, 0.0, 0.7595189344731818, 0.0, 0.0, 0.0, 0.7630326118920496, 0.0, 0.0, 0.7228750954845966, 0.761129137879212, 0.8934368096821153, 0.7622076804209933, 0.0, 0.0, 0.7350557124776321, 0.0, 0.0, 0.8239355150814734, 0.0, 0.7580738238640125, 0.9286953268024336, 0.0, 0.7568868773824784, 0.6990528627337916, 0.0, 0.0, 0.0, 0.7645246102154415, 0.7973689847334341, 0.7245499200508858, 0.8439713254824764, 0.7174982710581093, 0.9185448438602258, 0.739766654737357, 0.7564578310789775, 0.7344413549950831, 0.9436805626346106]"
36,58.78,Human,12.03,0.4476479569693634,"[0.6702105644787575, 0.7283729160484301, 0.6092108075133637, 0.6204715985395469, 0.0, 0.0, 0.5519610036324618, 0.8315383634745748, 0.8268506930589504, 0.0, 0.0, 0.0, 0.0, 0.6519944529482301, 0.0, 0.0, 0.6913877798336423, 0.0, 0.0, 0.5700578395257695, 0.5822093857177926, 0.6011097767186816, 0.0, 0.6032306342646866, 0.0, 0.7532394419652583, 0.0, 0.6188034313716094, 0.8223973625218707, 0.0, 0.0, 0.7791189014654234, 0.7804812223097178, 0.8491807620599121, 0.8504503119265305, 0.7103371593949401, 0.6368516763659274, 0.8535515313385946, 0.6083716704194889, 0.8216748409018434, 0.7305021079478932]"
37,61.19,Human,7.32,0.4141624115484867,"[0.0, 0.7601602448532024, 0.0, 0.7056223141437731, 0.0, 0.0, 0.0, 0.8260448710360866, 0.5673489904509997, 0.5204260469834189, 0.6104340523031713, 0.0, 0.8382368170891091, 0.0, 0.0, 0.7491285661384709, 0.7739320087395745, 0.0, 0.7610368884332269, 0.5903995989227723, 0.0, 0.754442858377557, 0.0, 0.6119444300937064, 0.0, 0.7080781600605113, 0.7011360110945792, 0.0, 0.5996473971402798, 0.0, 0.0, 0.0, 0.0, 0.7826659249314739, 0.7300863541993241, 0.7062697077682211, 0.8233019383060359, 0.7791024739661384, 0.7691077489384059, 0.6296710177240578, 0.6824344517938569]"
38,127.4,Human,4.67,0.13326171685182037,"[0.0, 0.0, 0.6461787432338132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.44192887506875655, 0.0, 0.0, 0.0, 0.6758220511212225, 0.5476121161699437, 0.0, 0.0, 0.7269236131118565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5267834817922822, 0.0, 0.6271805185221428, 0.0, 0.5678634354085675, 0.7034375564960492, 0.0, 0.0, 0.0]"
39,136.03,Human,2.11,0.415977305418412,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6885820539832407, 0.7252910027528469, 0.6424812145459601, 0.0, 0.7378249417722923, 0.8290185819025763, 0.6767738682872569, 0.0, 0.0, 0.0, 0.6668580807130537, 0.0, 0.7176856952781353, 0.0, 0.0, 0.6377522907812969, 0.7040124755360613, 0.0, 0.6986128137279227, 0.8877216652187386, 0.8591031295307772, 0.7713739628802837, 0.0, 0.0, 0.6656028672432026, 0.7295629766918034, 0.7792876210009094, 0.6506080024154908, 0.8472322920659546, 0.6909833429627747, 0.7803322609742087, 0.8919237287001683, 0.7764446531899358]"
40,87.95,Human,2.31,0.6170800220683099,"[0.0, 0.0, 0.7262286566483899, 0.8297746919020776, 0.0, 0.0, 0.6088751406340032, 0.7682599398487617, 0.7366995306830825, 0.7521406639810926, 0.0, 0.7383644274920274, 0.7850422479993165, 0.7653571011563786, 0.7918631049150476, 0.7449817742035462, 0.7448112907551252, 0.6718597712183226, 0.7232583448963789, 0.7381212770598792, 0.7843916875516378, 0.7431265559226747, 0.7587549200404307, 0.732595462261658, 0.7596991812457526, 0.0, 0.6798880090546829, 0.0, 0.7955589421814653, 0.7163830647549003, 0.7618214370633978, 0.73839690244036, 0.8389931051054671, 0.6790310574300373, 0.8326255417350145, 0.6778802705547619, 0.737866450774333, 0.7379110315102129, 0.7511747083693707, 0.7421457681352293, 0.7063988452758881]"
41,72.66,Human,7.83,0.5811610148131741,"[0.0, 0.0, 0.6436214560496318, 0.757178132370521, 0.0, 0.7535271751984564, 0.0, 0.8412304080071933, 0.0, 0.7183883342707641, 0.6737394397953598, 0.7468411546642088, 0.7537138095719765, 0.6440436973282587, 0.6598549000503957, 0.798534877574771, 0.0, 0.8420513661354737, 0.0, 0.6374525717139253, 0.0, 0.7469304693266576, 0.8530255338835263, 0.7389376223474196, 0.8354444824711978, 0.82109167382384, 0.7305416460522868, 0.8150827100713623, 0.0, 0.7494208628122551, 0.0, 0.7045312679888744, 0.8555682419496864, 0.7512358646172752, 0.7487211667964504, 0.8653994690410575, 0.8679039763751956, 0.895975819532708, 0.8733758017360402, 0.8774954734739373, 0.6267422023094267]"
