,perplexity,prediction,percentage,entropy_rate,rates
31,60.6,Human,80.79,0.6898443467557849,"[0.6958308306558746, 0.7390552106343127, 0.60159036918487, 0.7417830788336255, 0.7723863041797, 0.6580489443509825, 0.7487862469778875, 0.7504630324449935, 0.727596124718371, 0.5520249903686221, 0.7829216529442704, 0.6574363797210727, 0.7746095929544231, 0.7522330831093381, 0.6345505770060762, 0.7679291725676983, 0.5859647543760805, 0.7359129340034906, 0.6539470301025371, 0.7270081080901828, 0.6884430903055494, 0.7721258925708344, 0.7190487749726457, 0.7076585330555112, 0.7487979342977008, 0.6415538072453022, 0.7614087151927668, 0.7335905854984089, 0.7251661863455812, 0.6194583998254323, 0.7626479268777484, 0.7531564639981473, 0.5900311076230196, 0.6436225991860142, 0.585316915880283, 0.5648043848257889, 0.6443117087303047, 0.6522543571988157, 0.6259731494507026, 0.6591380235685923, 0.6250312431136138]"
32,61.24,Human,99.99,0.7485499657106823,"[0.8247275401279821, 0.7699181979906818, 0.8001685443279328, 0.7960734293242533, 0.6888751549168792, 0.7861957373959427, 0.7739214230154149, 0.8531643163181204, 0.5831261560250937, 0.7685189212428812, 0.7291729792939744, 0.8545624745957149, 0.5517358089849725, 0.7590770897193253, 0.5641235867244077, 0.7772281379151198, 0.5801602739222402, 0.7738159208301421, 0.8215073355996193, 0.7327722570407004, 0.7390824564961388, 0.5505867495358704, 0.7626704893553545, 0.7340526097297808, 0.7283089930219245, 0.5719535054724666, 0.8798514371695182, 0.8316904015480046, 0.597118455404347, 0.8082707023991909, 0.7000411174635639, 0.5823250388637824, 0.8675065117146856, 0.8052439339106992, 0.759203328018345, 0.872392218958537, 0.8454360556225587, 0.7982093174125341, 0.8180319913990367, 0.7930856085578539, 0.856642386772383]"
33,51.85,Human,97.39,0.7449436068490733,"[0.6878168114071058, 0.6776285838945999, 0.7065648485208846, 0.6940351746114795, 0.6784492131956753, 0.7325829013265938, 0.7961804671277829, 0.8538878000625557, 0.698927726235516, 0.8746649940229422, 0.6978367210387604, 0.8408682060780587, 0.7020464652559554, 0.6986951706103146, 0.7094590613529356, 0.6893418807323286, 0.713659371086541, 0.6769441284534496, 0.7331153771063953, 0.6886065003565845, 0.67758369407739, 0.6950901293635786, 0.7350265891863029, 0.7022448777510216, 0.8751767725585372, 0.6970920997922588, 0.7532583564208217, 0.7668306170941989, 0.6856518894132383, 0.6944763267735998, 0.71063516927113, 0.8134907946814618, 0.7561794094108694, 0.7646906154048458, 0.8392154680021011, 0.844877276452999, 0.79357022707349, 0.8451322233475704, 0.7356888689451633, 0.7857666581564346, 0.8196984151585366]"
34,49.99,Human,93.11,0.5936933947138838,"[0.7316115337994643, 0.0, 0.7318112777026677, 0.7339699638287653, 0.0, 0.5778512191455865, 0.739819371994422, 0.7109031142880192, 0.7358387497253736, 0.7432626787338802, 0.7249417548248188, 0.7495066537184568, 0.7021740726767501, 0.6765856650773718, 0.7483851289546212, 0.0, 0.7017882026429838, 0.7227090316304207, 0.0, 0.7044189762654331, 0.683125104368736, 0.7230959412549751, 0.7197704857407883, 0.0, 0.0, 0.7371528069051703, 0.7142247499926175, 0.0, 0.7397817960565453, 0.727940815786317, 0.7390715954678679, 0.7083388062745465, 0.635707039972083, 0.7061757568572251, 0.6887681819652338, 0.7318793814079654, 0.7488989803716392, 0.7592407235484077, 0.6945498779211873, 0.7355827543486141, 0.7125469900202822]"
35,56.55,Human,72.15,0.7348807251700844,"[0.7596560938092042, 0.808860742685812, 0.7490928619316942, 0.7234835399847337, 0.6854685432395412, 0.685767887640741, 0.8518254967448453, 0.48088330278959235, 0.8114164599661764, 0.7492921882992526, 0.5846674192209671, 0.6470430141765267, 0.6867098702548634, 0.7286696229814802, 0.8307207110494386, 0.6407368704351474, 0.6845832374597957, 0.7345365270003953, 0.8611597708546325, 0.6476088588431385, 0.7028506094049243, 0.8193839289169026, 0.6128842504946336, 0.4906300062036519, 0.8201714857426352, 0.5414722481781694, 0.6706835854541672, 0.8834971260363887, 0.756723716865626, 0.8291237949694882, 0.7235441610058015, 0.7522159693274066, 0.8612839884066593, 0.638547231215086, 0.8125661980721007, 0.8657430195691072, 0.6814625059189116, 0.8745170379803665, 0.836048078120776, 0.8485984910264324, 0.7559792796962548]"
36,63.38,Human,83.26,0.7561331203935686,"[0.7970685214935823, 0.8096287541111296, 0.7642880152057643, 0.8074269350567619, 0.7371293228228227, 0.8090305369500937, 0.7716123047311542, 0.7338331305028232, 0.7193695019489881, 0.7471129957086334, 0.7149407956743383, 0.7737126348485578, 0.6757574503589335, 0.7799559935915019, 0.7191542367029145, 0.7420623941769235, 0.8051649911312758, 0.7441447163856839, 0.7961900939292174, 0.7262275169777946, 0.805654988614063, 0.802518585703626, 0.7860503130592772, 0.7373277350951762, 0.7237953456435737, 0.7369551173946194, 0.7268811108023531, 0.7149697386394627, 0.7353549335645977, 0.8222916421229133, 0.7077307827774043, 0.7267366202335043, 0.7378741554715565, 0.8316191170021504, 0.7421151408207891, 0.7015753703800112, 0.7926752547887511, 0.8186104889104098, 0.7327044024383931, 0.710460629809053, 0.7337456205557392]"
37,49.44,Human,79.94,0.676314092265901,"[0.6854384876087625, 0.6690443641662207, 0.6585366371821124, 0.7149013862933006, 0.6636618167017847, 0.7189233818696755, 0.6444794070087314, 0.7140181565403217, 0.6503777002058163, 0.6418048106129334, 0.6517549124682218, 0.7078901422876426, 0.6100326647730853, 0.7173312938874071, 0.683105726404952, 0.6568249418696755, 0.6547029096869906, 0.6662323917860965, 0.6555515377360116, 0.6759234497750477, 0.6547028409445314, 0.7170216138926995, 0.6913944182974006, 0.6370279441737109, 0.7395770634760817, 0.723046030737738, 0.638872460719966, 0.6608204351980117, 0.7432454183094476, 0.6519459447220001, 0.7054118701883548, 0.6210441833728266, 0.6692837108961296, 0.7029012888550411, 0.66969015444304, 0.6570629371104492, 0.691369553783955, 0.6798476645265327, 0.6287797602941277, 0.7040035974051738, 0.7012927726899376]"
38,52.54,Human,59.24,0.6379767617689406,"[0.0, 0.752278737825299, 0.8249869759420031, 0.0, 0.8006010665851168, 0.0, 0.6976906194079612, 0.6440783608550408, 0.7793149775086755, 0.7667254365973137, 0.785919789193, 0.7669847912422869, 0.7929535973815176, 0.7527350968804515, 0.8024764657981115, 0.7652199735513125, 0.0, 0.7811237859653076, 0.7532081321902282, 0.0, 0.0, 0.777593331192915, 0.783651293494955, 0.7643683322840814, 0.7734955628647946, 0.7831090426457736, 0.7756816353598407, 0.772676808002918, 0.7720742078482125, 0.7725866837299142, 0.0, 0.7765013278781734, 0.8047590566543121, 0.7766570981459141, 0.7408105104145023, 0.7840937174350013, 0.6970061682813057, 0.7752559779327299, 0.7694415287466877, 0.8142618956839139, 0.7767252470069939]"
39,33.75,Human,76.31,0.655377792741554,"[0.6756476884283968, 0.704608382490341, 0.7725155732476968, 0.6319787063736004, 0.6449893499351984, 0.6408541391427677, 0.6060200305355079, 0.6227955227577714, 0.6014199114578868, 0.6431064453661888, 0.6312576894183693, 0.6623068886175649, 0.6302781704511251, 0.6328321383671568, 0.6353203029442129, 0.6970222591987745, 0.6651716085096311, 0.7005377307016338, 0.6159511907461871, 0.6890857868967518, 0.6192554176010028, 0.5962476509626299, 0.6443925084301858, 0.6538199506164936, 0.6197106466030503, 0.6199452489362488, 0.6759296918465204, 0.6546231467181651, 0.6316559811254954, 0.6328300149942324, 0.6458722532205902, 0.651999741590085, 0.6608196191580579, 0.7026720475873759, 0.7127949230196183, 0.6091700035789717, 0.7237151904396505, 0.6921732704450742, 0.7102496884494441, 0.6300879430212957, 0.6788250484727603]"
40,70.44,Human,43.1,0.6122849743334764,"[0.5547521580615481, 0.6890570153699964, 0.6835708682610012, 0.6180903187154491, 0.6864984185261295, 0.5537133349772286, 0.6951843562526715, 0.6079950747270798, 0.5668448854814694, 0.5887135576900806, 0.6456136883158102, 0.6807590357424005, 0.6325008968556565, 0.5593124432761306, 0.632750428851806, 0.6860559294453659, 0.5726596196122969, 0.5794271088613295, 0.604290457585331, 0.6479152287411385, 0.6059126941936448, 0.7272447552815632, 0.5872308035475842, 0.5621112794900214, 0.6115975835055693, 0.6007233336952031, 0.5541394508512336, 0.6686562768041487, 0.550893054601948, 0.6101046670407908, 0.5844604369591404, 0.5969745365053745, 0.6487426234571444, 0.5945505248093993, 0.6097356784601622, 0.6031717937207758, 0.5864442927617229, 0.5956898614141768, 0.6062350491550403, 0.5256299987667717, 0.5877304273012011]"
