,value
497,0.7915884942028055
478,0.7944933795499962
11,0.7946449360390528
475,0.7951515297675085
415,0.7956390771836285
407,0.7969033643931712
246,0.7974506206430269
496,0.7994576118148287
269,0.7996596080364392
26,0.8007064493984646
359,0.8007587047140086
294,0.8009546512775044
258,0.8018152169497371
66,0.8018533179889876
273,0.8022842067753732
190,0.8036870502414674
10,0.8045074669712428
398,0.8046082587077978
322,0.805350334506985
376,0.8053748927904385
39,0.8060636855653435
30,0.8080449674687918
450,0.8080449674687918
390,0.8104286243054641
244,0.8107502165338446
157,0.8115218031531777
13,0.8118618020112316
100,0.8120811370664945
235,0.8121617299277208
358,0.8123294536426671
34,0.8132775931856712
238,0.8138474351136786
275,0.8140284703336295
394,0.8151464321859546
423,0.8159644340311701
372,0.8160854554817545
396,0.8174358671118797
7,0.8175685862920428
59,0.817999657583761
101,0.818584309820199
78,0.8246124279001943
176,0.8255204150269788
67,0.8275069021293452
307,0.828119077357118
197,0.8296348882384993
430,0.8298199112458685
290,0.8301134615814849
233,0.8324178988354509
293,0.8335769547264972
220,0.8343823293606313
221,0.8344214747000699
265,0.834421985447458
81,0.8369540700834457
362,0.8371515536161549
142,0.8384191375534882
61,0.8393587291506843
435,0.8403221508204025
68,0.8431198850901449
338,0.8443446604345035
202,0.8474657800260249
365,0.848209448423096
417,0.8486919556108474
127,0.8487492306844239
289,0.8510384456710206
154,0.8513441223513203
377,0.8513726011567909
352,0.8522289666321785
495,0.8532388198773487
205,0.8534056945135281
426,0.8541341493390467
271,0.8546945883933541
209,0.8549735995747341
481,0.855943511088083
234,0.8564108881879372
392,0.8564308161973435
155,0.8582596075813029
361,0.8584558027673946
172,0.8623227635756893
210,0.8655131231225915
360,0.8664840797947151
474,0.8710531675631126
463,0.8726184749538073
288,0.8726184749538073
180,0.8735982567677194
292,0.8803830948038834
433,0.8816632601279033
295,0.888050560715416
299,0.8898971658749182
267,0.8912578324304158
427,0.8915894357543225
397,0.8927717782917851
399,0.8930639538037892
184,0.8934912977444543
116,0.8943307269198634
263,0.8990320613478268
46,0.9042081054804244
208,0.9116941524916709
380,0.9122388973935112
414,0.9203889284105328
356,0.9285346304740588
36,0.9287161512526008
363,0.9336181379217966
108,0.9369434144937436
491,0.9507185763529894
237,0.953934017992938
280,0.9571774622305492
83,0.9591702342427711
109,0.9694600387645425
178,0.970437678680105
418,1.0026033641305685
200,1.016864985877019
140,1.0182424654554587
53,1.0263755702826998
262,1.0621837512874142
41,1.086350710729469
287,1.0978495595812363
311,1.1089976286312777
181,1.1246848425295148
112,1.2071868599242654
207,1.266804416871117
383,1.3426289077465852
