,text length,binoculars score,percentage,perplexity,entropy_rate,rates,
Linotype mechanism.txt,314095,0.984210551,0,0,0.480804283,"[0.5675852391160229, 0.4030013151082328, 0.36033638110591576, 0.0, 0.3838855340138434, 0.5307759969247349, 0.6476434046891815, 0.3368068927233901, 0.5222123250370773, 0.5067300522565971, 0.5563900121064825, 0.6391684179132563, 0.38519518783400297, 0.41817286001886034, 0.5023608460918965, 0.30747090807185967, 0.6401642799568376, 0.6449327974728332, 0.384244611857177, 0.5663728361395494, 0.3635829067289055, 0.34460099859357013, 0.6636200671277089, 0.46096157058219717, 0.3146246043518355, 0.34988611765109007, 0.48208922717950087, 0.5022278638047538, 0.6201392802280377, 0.3633608697804609, 0.0, 0.5132004327544137, 0.5761067937171006, 0.5909872940634708, 0.5297227898584336, 0.6034180302605647, 0.6308597755765227, 0.6712110375843036, 0.6953643972748905, 0.6034788693552514, 0.5300827600135221]",
Linotypes and intertypes their maintenance and mechanism explained.txt,538913,1.024691343,0,0,0,,
Marks of a world Christian.txt,458952,0.995098054,0,0,0.55952277,"[0.0, 0.0, 0.783855829780961, 0.7335395192478421, 0.0, 0.6314663828806599, 0.0, 0.0, 0.8064536699693509, 0.8222623278038265, 0.0, 0.0, 0.7730348273622836, 0.8847805658767, 0.7620489930541345, 0.8765871843287631, 0.7664279594708664, 0.0, 0.6772247287492364, 0.8589528325870128, 0.0, 0.0, 0.7620489930541345, 0.7743087641308484, 0.7836877673904096, 0.0, 0.7629528156280437, 0.7675704314201137, 0.0, 0.8058869998959208, 0.7945790564287767, 0.8147717737898555, 0.7636292992951473, 0.8412234387092191, 0.7791203136032492, 0.8319877703708898, 0.8113075462904118, 0.9053675871781482, 0.8517377998151302, 0.7764976132076493, 0.7371207727139878]",
National galleries of history and art.txt,722750,0.988047838,0,0,0.900958486,"[0.7100262610177002, 1.0638702007793321, 0.7730721324037273, 0.8972889459631636, 0.690120104744363, 0.8143510379084559, 0.8778842425671475, 0.9406755080460671, 0.9196022337172445, 1.0553211641983684, 0.9934167956829214, 1.04204564148982, 0.0, 0.9211462942493094, 0.9289330228370116, 0.858360244990147, 1.0058663003311124, 0.9250427285239966, 0.9561497870295877, 0.9045966413983867, 0.9514399377586887, 0.8128531461620632, 0.866941822295784, 0.9079718707671611, 1.0379097832658732, 0.8713074224423685, 0.8647556008799142, 0.8948677574306647, 0.9649288654797604, 0.9316742762370485, 0.7504257677751495, 0.784462741999037, 1.0884435271967798, 0.9441752255277119, 1.0363987882954089, 1.0913020484802012, 0.9087160998422004, 1.0676536574381401, 0.9749036157475891, 1.0018475873977792, 0.9085490766949967]",
Oriental rugs.txt,625466,1.023622036,0,0,0.830782446,"[0.7505448460222444, 0.9619638417883973, 0.825720415858518, 0.7938526779257006, 0.8114128367179682, 0.7234597788404596, 1.0039350219239438, 0.8931542414307876, 0.7806658530423316, 0.7802696529275835, 0.6250044904285594, 0.7747575260943582, 0.7222532437116249, 0.9352228124035395, 0.7630678672267708, 0.7252107504158322, 0.9334517856250133, 1.004061757246967, 0.826893891726545, 0.8496346261006675, 0.7709198560370591, 0.8105493346893576, 0.7862448731589227, 0.7510719375280912, 0.7877395679394498, 0.777375819805111, 0.9595285297190718, 0.7606659445357035, 0.6585723100055624, 0.785389826818016, 0.7386579087289313, 0.7702089334494755, 0.9385501879235446, 0.9851725687762672, 0.8474642592773148, 0.8680372627499389, 0.8768936886556927, 0.8845597853213182, 0.9749132886265833, 0.8608420692385768, 0.9841844193306891]",
Paul Cézanne  his life and art.txt,204721,0.972868204,0.002222222,0,0,,
Plan of Chicago prepared under the direction of the Commercial club during the years 1906 1907 and 1908.txt,495150,0.9909091,0,0,0,,
Poems of a Salvationist.txt,159392,0.981981993,0,0,0.29652345,"[0.0, 0.0, 0.0, 0.8522473326850756, 0.7837355830746185, 0.0, 0.0, 0.6058338530552071, 0.0, 0.0, 0.7439067563648357, 0.7950214007903962, 0.0, 0.0, 0.0, 0.0, 0.7023083452394238, 0.0, 0.0, 0.4909852738813038, 0.0, 0.0, 0.48708399489180754, 0.0, 0.0, 0.0, 0.0, 0.5489887741141397, 0.0, 0.0, 0.0, 0.0, 0.8477285002170418, 0.8359862983688545, 0.7695595180344437, 0.7816587698197437, 0.7652629185259241, 0.6047120454470006, 0.49553802159042926, 0.4905117747785563, 0.5563922927557715]",
Precept and practice by Benjamin Bausman  with an introduction by Rev George W Richards .txt,271066,0.985815585,0,0,0,,
Progress in Christian culture.txt,291351,1.036809802,0,0,0.524491227,"[0.8385820634940149, 0.0, 0.0, 0.0, 0.0, 0.7843598072188133, 0.8052606472404181, 0.0, 0.8148075368398725, 0.6970365258772327, 0.8983719078314173, 0.8932947958555887, 0.8227449871862302, 0.87168632900601, 0.8085151138430648, 0.0, 0.8000923111413498, 0.8509910091768796, 0.8269534907416966, 0.7504411589963594, 0.0, 0.0, 0.8100529136613164, 0.0, 0.0, 0.0, 0.7880025203564042, 0.0, 0.0, 0.8140311323209451, 0.0, 0.0, 0.8444904097046855, 0.9058012801239493, 0.8434493353729305, 0.8603560016990781, 0.8525604645892724, 0.8084214511353734, 0.8288471959540443, 0.8580250862155356, 0.8269648205283661]",
Quality folks  practical meditations.txt,252399,0.981900454,0,0,0.628454926,"[0.6788853199405097, 0.6657971157205126, 0.6285415376099428, 0.5710423249145723, 0.725222475867692, 0.7065276515232408, 0.5383432058536316, 0.613703711950068, 0.573120773794659, 0.6643325227164998, 0.5769035359170047, 0.4527809021823633, 0.631280516463213, 0.750421667063722, 0.701697093269451, 0.38258993490433846, 0.5493301417829197, 0.7132544322503592, 0.7069070807478242, 0.6761590302785377, 0.6915881259403637, 0.7369467332308759, 0.540426658444543, 0.5753873654534706, 0.7650211484324916, 0.7003990303338695, 0.6138963447520281, 0.6333442937781116, 0.6743635884995562, 0.5935195998935164, 0.7361243368280843, 0.6976048512648102, 0.6242675404721313, 0.5334409003073691, 0.6323098726551106, 0.5222474588293239, 0.6635475483878189, 0.5779300407185934, 0.571026880929539, 0.6533627761125511, 0.5230559159931996]",
queue.txt,,,0,0,0,,0
Quiet talks on personal problems.txt,298223,0.982222199,0,0,0.6141327,"[0.7280131971388891, 0.6195504800381894, 0.6518204570133984, 0.6521011122337504, 0.6947860286776224, 0.552917117302147, 0.6133403722787845, 0.664471798440153, 0.60757702829318, 0.6837843308895512, 0.6241641201543123, 0.5702956126421534, 0.5824074624125166, 0.5138693827522558, 0.5580213203465523, 0.7059770504147743, 0.6115312733003903, 0.5944272884327693, 0.5109032014815602, 0.617434912762241, 0.5892740563483889, 0.6385067721059394, 0.5829105215707, 0.526746339789972, 0.6746694434819015, 0.5818145886594102, 0.5179330493803999, 0.6657076621357055, 0.6110075113367488, 0.6364349540492573, 0.5500846180270091, 0.6120388500884456, 0.7098088630983256, 0.5598477912153232, 0.6379454683151536, 0.6390075709684734, 0.5978759019044967, 0.6486266587172764, 0.6200027225998519, 0.6138831837219985, 0.6079206373830991]",
Real religion friendly talks to the average man on clean and useful living.txt,193792,0.987012982,0,0,0,,
Recommended selling prices for commercial and bank printing blank books embossing stock books.txt,271957,1.009009004,0,0,0,,
Religion as life.txt,228718,,0,0,0.737645456,"[0.7350214502117779, 0.7486330516822802, 0.7495344571999598, 0.7812916882923697, 0.5757595702827277, 0.5731391151770169, 0.7433587541058749, 0.7409399385311759, 0.7575083945926971, 0.7312225935303752, 0.7770221095904445, 0.7599995443678026, 0.7954702113851685, 0.7514689605174364, 0.5968676076675288, 0.7381387873774687, 0.7693373446014357, 0.7584335111571326, 0.7219921634993455, 0.7812939077117265, 0.7776179317777729, 0.7787143845056995, 0.7350336235467939, 0.7090631645749471, 0.6771674499544448, 0.7360591012118191, 0.7838108305037478, 0.687032016984018, 0.657016291294346, 0.7622549106307331, 0.7397506571886276, 0.7597287089855894, 0.830515985027894, 0.8068182668370124, 0.730917822633898, 0.6587458483229717, 0.8051401867739716, 0.7780762747715129, 0.7622574445805533, 0.6637730076008842, 0.817536640109958]",
Research and information on Africa continuing sources.txt,218693,0.981595099,0,0,0.889333108,"[0.8155752858883276, 0.9080647686810169, 0.8754299735619399, 0.8771695376405121, 0.9520003347734481, 0.9169794712073707, 0.9537953787136824, 0.943107030496314, 0.8498050339248258, 0.9537533901210974, 0.7789461297679786, 0.9279344029196256, 0.9784262172697472, 0.8103104153966031, 0.7958553619711012, 0.867684110010623, 0.8194063298028315, 0.9744929331417576, 0.8714342239584879, 0.8181813960395269, 0.8466433767445621, 0.7896954233520177, 0.9316125828024006, 0.8957789512751299, 0.8507645224919634, 0.9019700836444619, 0.8423331434925554, 0.8666274094870369, 0.8815050609351146, 0.8569596669477025, 0.9276389533326069, 0.9521168908048454, 0.9089568821697827, 0.9699682162047584, 0.921901958425853, 0.8234603157607504, 0.928968947138338, 0.8890833229595239, 0.9356989756542498, 0.9831624786910134, 0.8694585572616684]",
Rubens.txt,236608,1,0,0,0.862469725,"[0.7867238919961422, 0.7012017461226541, 0.9892317261261122, 0.912668355564702, 1.1359432520223887, 0.7347002272621573, 0.8517363140141875, 0.7258880112708593, 0.7750093474620734, 1.129833937985101, 0.8353533247316208, 0.8488996857924656, 0.8096677598863637, 0.7458764056339842, 0.8418223040739028, 0.7995888855544154, 0.7369534916808695, 1.0557122448195775, 0.7579032428767463, 0.5276718627103402, 0.8362612250868444, 0.8529559869980265, 0.8606648542187576, 0.6485066941236407, 0.8131695971904501, 1.0708845002232097, 0.8297546493248948, 0.8350954089214223, 0.7977430097741218, 0.8150972289248898, 0.7331185274710406, 0.8240481076959182, 0.9531254558410132, 1.1438549092310537, 0.85236531280464, 0.9638798406030461, 1.08168537135721, 1.0321561233655705, 0.8250303716648667, 1.099193633465581, 0.7902819183425132]",
Select fruits from the highlands of Beulah.txt,292930,0.986301363,0,0,0.413524886,"[0.0, 0.0, 0.0, 0.8960658386743773, 0.0, 0.0, 0.814905768055712, 0.0, 0.6392104978881133, 0.8431856119911562, 0.0, 0.9051959141854442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8811667320668198, 0.7873388180473175, 0.7335687148780309, 0.0, 0.9198719703162698, 0.7672143196765898, 0.0, 0.0, 0.0, 0.8205768655502436, 0.0, 0.7231738485524106, 0.0, 0.0, 0.8298770174966952, 0.7744402035322244, 0.737652886000345, 0.9004225074368097, 0.8462426652736758, 0.8491425367720346, 0.8709253271330929, 0.7168279266942712, 0.6975143750215732]",
Side windows.txt,269934,0.986363649,0,0,0.559817801,"[0.8674061257551797, 0.6442886145853994, 0.7589579826082665, 0.0, 0.7381308095717254, 0.7738118910415737, 0.7781709198991175, 0.5938958106119443, 0.7346126043449115, 0.7242888916675165, 0.7534450620087323, 0.8999295927526348, 0.0, 0.8312970414311505, 0.7321624049729479, 0.6922718639681802, 0.0, 0.0, 0.7138827566937365, 0.0, 0.0, 0.7138827566937366, 0.7682440777744551, 0.7340886606394147, 0.7565708021478125, 0.0, 0.7262134161432984, 0.0, 0.0, 0.7281277706526791, 0.0, 0.7158210248191488, 0.72049628383752, 0.6924844619785857, 0.661875485317251, 0.754453018932748, 0.6080900090889071, 0.8455633240768803, 0.6785082693859585, 0.7777474681668545, 0.8338106231834549]",
Sifted wheat.txt,338947,0.959641278,0,0,0.456549701,"[0.0, 0.0, 0.0, 0.8906422221686251, 0.0, 0.8218064004495642, 0.0, 0.0, 0.0, 0.8413865116376353, 0.6143240403222227, 0.0, 0.7789946465734915, 0.8371469807525332, 0.8171423100421906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8807143274320862, 0.8594883960062525, 0.0, 0.8329413625003745, 0.8639018441553423, 0.0, 0.8616641939500973, 0.7828244021227325, 0.0, 0.0, 0.7767159643083896, 0.836570584851974, 0.7972698465786385, 0.721573458849349, 0.707752319393426, 0.7829007262593634, 0.8935336408024844, 0.8639079562456927, 0.8208157382102071, 0.8345198768636493]",
Sketches of great painters for young people.txt,393777,0.990291238,0,0,0.847174426,"[0.7951098385503689, 0.8164263550120036, 0.7918184673239766, 0.9182824132209287, 1.0202055607254772, 0.8871157929119555, 0.8165369645755155, 0.737801274443413, 0.0, 1.014015890842862, 1.0114748368214148, 0.7622625970863075, 0.9601543962009179, 0.8371594985747988, 0.9103946466366791, 0.7930976424364338, 0.875347711623917, 0.7943612783394275, 0.8238197079727025, 0.8205367511219562, 0.9827508179098025, 1.0139061006109285, 0.7705011938839612, 0.8517386941135757, 0.8239699678921966, 0.7362366958646499, 0.9216430266082799, 0.8755100423077913, 0.9010796815006029, 0.8196636719269275, 0.9614329690339828, 0.916045955987963, 0.785503243791057, 1.0099591289327803, 0.8478460676637434, 0.9091802708751106, 0.7966788323410925, 0.768156583651043, 0.8265511289508396, 0.8548162897647291, 0.9750594966052126]",
Specimen book of type faces showing the machine and foundry faces of body and display letters accents piece fractions superiors and inferiors rule dashes signs seals cuts.txt,220162,0.979487181,0,0,0,,
Specimen faces linotype composition borders rules and dashes.txt,231498,0.983783782,0.000749064,0,1.430367485,"[1.068640825045132, 1.0013747295995497, 1.0080002389224125, 1.7091887537268968, 1.295961568958927, 0.9661936767866309, 1.8953951555950632, 1.52647531428538, 1.8621437875512974, 1.1355395868318539, 1.855401877629841, 1.951630602558875, 1.2067407939903712, 0.7978555968770404, 1.8530588245193202, 0.9974352818129191, 1.897033194554963, 1.9585413218504328, 1.5217218995405937, 1.9135457096415045, 1.5130272891274437, 1.3765011065854147, 1.8457804650230838, 0.9910035200707377, 1.9302699182139733, 1.5369027171272702, 1.6480810284947958, 1.9282137170432716, 1.618102067800058, 1.8698307740950681, 1.859123000391271, 1.9099049414782296, 1.0269655511821958, 1.021664023294715, 0.9028924513087692, 0.8876911345680623, 1.2771697054936193, 0.9403193328581374, 0.978475273456225, 1.1951229215669674, 0.9661471959265048]",
Specimens of type faces in the United States Government printing Office.txt,294212,1.005181313,0,0,0,,
The balanced life.txt,262631,0.969957054,0,0,0.623618398,"[0.0, 0.9997424683580505, 0.7945557974745194, 0.8295021106419548, 0.7792416928700633, 0.0, 0.9024719093414054, 0.0, 0.7430360457184498, 0.7493655096886028, 0.9184359606349052, 0.0, 0.0, 0.0, 0.7851867975611487, 0.7773741423704987, 0.0, 0.828283911119015, 0.8071613664535857, 0.842307432811997, 0.7111323890720479, 0.7926450660246586, 0.0, 1.049195579633738, 0.5805730472152041, 0.0, 1.058382203453897, 0.9848088684818805, 0.5887245447456496, 1.021907113164562, 0.8096221041037259, 0.0, 0.0, 0.8306054519477079, 0.8640614557016467, 0.9291570645329162, 0.8458989468080177, 0.8084060892446535, 1.0068065547330478, 0.9074769171017621, 1.0222857839555082]",
The beauty of every day.txt,259081,0.967289746,0,0,0.466380607,"[0.0, 0.5142577466396078, 0.0, 0.8824916132529114, 0.6420158033665598, 0.7439701515443676, 0.3230070941908901, 0.36412068837482875, 0.7534954324132325, 0.518153491498172, 0.0, 0.765377149036956, 0.0, 0.0, 0.0, 0.6278462820142711, 0.0, 0.9126425672333809, 0.5838432382422176, 0.7348690128525786, 0.5171258991636842, 0.8591482940643754, 0.0, 0.0, 0.0, 0.5393626981311936, 0.5520714200860951, 0.0, 0.0, 0.0, 0.593640030373758, 0.7837013040770602, 0.9268689960174957, 0.8130669159384593, 0.7601415118207444, 0.6623314091214438, 0.8196438863975519, 0.8289738161204494, 0.7587823863156931, 0.5772687526624029, 0.7633872912652419]",
The beauty of self-control.txt,255705,0.977168977,0,0,0.787724064,"[0.8391310265092512, 1.0225181980572475, 0.971849115628639, 0.7448661451036838, 0.0, 0.7193856454685761, 0.7583595254391666, 1.0827920525607935, 1.1284122974484716, 0.9953337521729705, 0.9127736136545658, 0.0, 0.7965010372566984, 0.9891060591364244, 0.6377324523770438, 0.9376993024510987, 0.0, 0.826417089437045, 0.8692616864260768, 0.0, 0.7516128352714252, 0.9251256253746423, 0.6902129865128812, 0.9883076909130923, 0.8618113391113912, 0.0, 0.7832488822265458, 0.9091832961275191, 0.7511344712063547, 0.9914567817481593, 0.932376878480319, 0.9634235468000854, 1.0283051152181066, 0.9924698231092083, 0.8985855927484718, 1.0316060538489018, 0.9375389176640163, 0.8978659264965297, 0.8280846130746276, 0.920584256023576, 0.9816129925649295]",
The Carey type book.txt,937574,1.034482718,0,0,0.395067923,"[0.0, 0.2541978037386183, 0.0, 0.3917243590965468, 0.32064770385430597, 0.7435314121314472, 0.6020488512198329, 0.0, 0.36514419961897715, 0.6277426339503183, 0.30690794099625845, 0.3895445022137864, 0.5266068848835191, 0.3257027211317967, 0.5809415584223193, 0.0, 0.6109291107281954, 0.3852959967780633, 0.5284841310881859, 0.0, 0.0, 0.0, 0.2980482917043055, 0.29192763403256644, 0.41333294447741276, 0.7703934146766525, 0.3195413020786805, 0.8093860617354697, 0.42005310181731964, 0.0, 0.0, 0.5564708438838879, 0.5680724841765581, 1.1122824591235523, 0.26597728358966866, 0.9462956937210196, 0.7087736157252968, 0.5303430194731332, 0.38832865942487305, 0.44448938249180714, 0.39461883289227756]",
The confessions of John Allen (and other poems) by John Allen.txt,313794,0.973094165,0,0,0.409848327,"[0.0, 0.0, 0.8249523423117068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8602022561294906, 0.9824271883459434, 0.0, 0.0, 0.6869741066585132, 0.0, 0.8135768904291065, 0.0, 0.0, 0.0, 0.8132902917658269, 0.9128885581325892, 0.0, 0.0, 0.0, 0.0, 0.8882332560408176, 0.0, 0.0, 0.0, 0.0, 1.0161244407014112, 0.906997492634938, 0.0, 0.8986190495342722, 0.9862427785704415, 0.8877628269736318, 0.7500257683039622, 0.8714834442672185, 0.8687900925494985, 0.918191779927457, 0.8748841042208944, 1.0421147261040964]",
The effective small home.txt,219639,0.970297039,0,0,0.921073247,"[0.9503972052978411, 0.932361848187577, 0.8864181524367417, 0.9103779687186931, 0.9853325308772624, 0.8321751304902033, 0.8593278499474367, 0.945889787938543, 0.6346379738406148, 0.7914588492042814, 1.021003543772106, 0.7103353758137293, 1.088913677317801, 0.8155090146237313, 0.9416971849945778, 1.0733000337083458, 1.0761298472875975, 0.8450935969740979, 0.7199466014889211, 0.9324199160971063, 0.9387600078282886, 0.9266870733701047, 0.9708081825542805, 0.8484925029934262, 0.9525422589667493, 0.9298904238336796, 0.4923284133018928, 0.9277827313807282, 0.9979911058730138, 0.9601596916859177, 0.9479574610036886, 0.935721713424668, 1.006042629247246, 0.999450282855616, 0.9287646527008169, 1.072070934002688, 1.0517395338138966, 1.0829112613855836, 0.9272783959829544, 0.9492380806523983, 0.964659718826836]",
The faith of a middle-aged man a little book of reassurance for troubled times by Henry Kingman.txt,328578,0.954999983,0,0,0,,
The furniture of our forefathers.txt,1258175,1.015151501,0,0,0.887931643,"[0.7636488002483733, 1.013185151181882, 0.7616309288663672, 1.0054291512559945, 0.76760537340541, 0.8268812093895584, 0.7568895496841417, 0.940546415161372, 0.7642346554914474, 1.0505977963436817, 0.8047287239748869, 0.8598788349123154, 0.9164113998215251, 0.9136482165201638, 0.7737078581287329, 0.6837927615457168, 0.702932305442023, 0.8660259100849772, 0.887410085295963, 0.7020925066224037, 0.8609138267350918, 0.9553122733372622, 0.7963716356623132, 0.7458091555851096, 0.97492151472172, 1.032303671964115, 0.7626281949579918, 0.9904295363092046, 0.8648130934683453, 1.039844624106283, 0.8507427836297232, 0.8003891247264646, 1.035331863440263, 0.9719047908837252, 0.9832366820861906, 0.9146444055210893, 1.0496256037447738, 0.9736174018839207, 1.0074350843808877, 0.9852323241359962, 1.0484121580280028]",
The gate beautiful.txt,258404,0.965174139,0,0,0.439385461,"[0.7571214758704581, 0.7767152761319542, 0.0, 0.8357279567536318, 0.7694140567794239, 0.0, 0.0, 0.7790469824985803, 0.6640286319866786, 0.23519334199996628, 0.0, 0.692716290395126, 0.7479272034446123, 0.5661259968363503, 0.0, 0.0, 0.0, 0.6901842653795262, 0.731512378517795, 0.6975520609644645, 0.0, 0.0, 0.7642399609080265, 0.0, 0.0, 0.5879188795295026, 0.42212158687862045, 0.0, 0.0, 0.0, 0.385826541432896, 0.0, 0.8018063793334159, 0.8023150582231858, 0.7856918087038403, 0.7564613700484272, 0.7808544192495794, 0.7602602889571255, 0.7125884064465385, 0.7150539432383558, 0.7963993294520267]",
The good life.txt,228394,0.978260875,0,0,0.616781579,"[0.6747922531321818, 0.7523372691859597, 0.6934002184860747, 0.7294528031159437, 0.730873139836195, 0.7213172012752906, 0.6538406776601262, 0.7101081608877436, 0.6429281726813545, 0.7506793687724165, 0.6757130083869496, 0.6525080457593972, 0.7453051846516731, 0.0, 0.7151985298712187, 0.7335416346189665, 0.0, 0.0, 0.7537219234800874, 0.0, 0.72243230265687, 0.0, 0.7500268635175454, 0.0, 0.6874738532518645, 0.6980882620676812, 0.7325407929731329, 0.689896311928227, 0.7444848134043996, 0.7586989385012943, 0.8018435316286348, 0.7717282826882105, 0.7506446050426179, 0.7331560472125223, 0.7299552631981169, 0.7208641931178499, 0.6744722067408132, 0.7603510652138392, 0.7656955917106855, 0.7319978021080173, 0.7279764160862026]",
The gospel of good will as revealed in contemporary scriptures.txt,347186,1,0,0,0.633671814,"[0.9200010845710994, 0.9311320313898463, 0.0, 0.8000245123353913, 0.0, 0.7113272032020993, 0.7619230116509673, 0.827722197908464, 0.0, 0.0, 0.7645175898021955, 0.9412930570324491, 0.8997044075232462, 0.7766628844918965, 0.0, 0.0, 0.7124704088430137, 0.7505899470703437, 0.6681258161186103, 0.0, 0.702208131380782, 0.8524718849062999, 0.7476752143791822, 0.7901396488986506, 0.7002052549081516, 0.8009622638648352, 0.7334297599646185, 0.7594742448593215, 0.0, 0.772401632855713, 0.8464551044927217, 0.0, 0.9318239132247208, 0.9645552492681124, 0.818664378377738, 0.9099406862800193, 0.9448095174707186, 0.7885657865824187, 0.8299901454975469, 0.764792722376964, 0.8564846783460381]",
The human element in the making of a Christian studies in personal evangelism.txt,376383,0.970297039,0,0,0,,
The inner life.txt,216076,1.01449275,0,0,0.571033444,"[0.0, 0.9998674690654479, 0.744028746107521, 0.0, 0.0, 0.0, 0.8085790759825224, 0.747138107801454, 0.0, 0.0, 0.7814729675963186, 0.0, 1.0486170757213606, 0.0, 0.6366546801365043, 0.7125291175762353, 0.7634221763815614, 0.8056857245812147, 0.7422338014145325, 0.7013504257572549, 0.7879415895887338, 0.0, 0.7387570711869397, 0.7934526572377721, 0.0, 0.5779869791074924, 0.9787833480545659, 0.0, 0.7742849337163488, 0.8194789186636536, 1.0000652481188481, 0.0, 0.8139760599540453, 0.8927298320232979, 0.7698376146561039, 0.9813884993405604, 0.75487691078393, 0.7997773079271895, 0.7462140654491748, 0.8917121028257077, 0.7995286839216678]",
The inverted torch  and other poems.txt,212211,0.96449703,0,0,0.402050359,"[0.5835217174391285, 0.7665761910423712, 0.0, 0.0, 0.6081621834331786, 0.6156450441804826, 0.0, 0.0, 0.57911132184685, 0.0, 0.7861730254926177, 0.8011138817771369, 0.5979736077683958, 0.0, 0.765987056511655, 0.0, 0.6079374844734019, 0.5458658964331751, 0.0, 0.0, 0.0, 0.5931964619385708, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5935244031601259, 0.717301567492081, 0.7057895120592487, 0.0, 0.0, 0.6079374844734019, 0.7525989193319823, 0.8530326354605562, 0.7976237280195209, 0.7689326352776948, 0.8026319049023372, 0.5668376846170056, 0.7287812477203598, 0.7378091387532288]",
The J J Little book of types specimen pages and book papers with suggestions  on book making and a glossary of printing and  binding terms.txt,1142422,0.972222209,0.140065147,0,0,,
The James F Ballard collection of Oriental rugs.txt,167810,1.033557057,0,0,0.710364383,"[0.7062908011525244, 0.6675818645070063, 0.7407709255631184, 0.6131329002099254, 0.6538777874077167, 0.7812883676026791, 0.660682803419638, 0.7160564520026446, 0.7763457235771879, 0.8351864241183016, 0.7646337118643829, 0.6976246266282373, 0.6263271916019809, 0.6730269655211665, 0.844901822125911, 0.7214222179714346, 0.8638187407763979, 0.7602462810949825, 0.6582321661958637, 0.7239019790511467, 0.6254260666266537, 0.8365569447130435, 0.7782336832178104, 0.6446024861156646, 0.6379215486599783, 0.7115541894435895, 0.6823221281916758, 0.6754987673552466, 0.7357058374726345, 0.6836091024161136, 0.8247269317007172, 0.7231596665011988, 0.755764102750408, 0.7435061268306532, 0.6357641188763298, 0.6433155658557612, 0.6954982860587792, 0.614006994679062, 0.7037495122466859, 0.6085865675542284, 0.6800813060454074]",
The lesson of love by J R Miller.txt,237443,0.926315784,0,0,0.457038802,"[0.0, 0.0, 0.8336917107304018, 0.8345164280962801, 0.843709589524621, 0.0, 0.7178155273012748, 0.0, 0.8297905467423207, 0.0, 0.23519334199996628, 0.8083968577501275, 0.0, 0.0, 0.5655456478326173, 0.0, 0.0, 0.0, 0.8097457762836512, 0.0, 0.7183024529512771, 0.7993379741512912, 0.7541854162757412, 0.0, 0.45334454083001935, 0.8258910430228895, 0.8752898834487233, 0.0, 0.0, 0.0, 0.0, 0.7835725647807622, 0.8282109348262507, 0.827047605471262, 0.805756092253742, 0.6866483208597357, 0.8520005374550991, 0.6860961517328149, 0.7431165019355797, 0.8055654071704172, 0.8158200303244753]",
The life that counts.txt,184627,0.953608274,0,0,1.015405819,"[1.1415716141095211, 1.2279457152810205, 0.8793931470338622, 0.7881248882505164, 0.9890635588627884, 1.1742949856565263, 0.9296358661774674, 1.2000036374840208, 0.9466487360696755, 1.2714924034664417, 0.8224350021973591, 1.178943392258568, 1.1376858929823603, 1.2426620842972358, 1.085629113150861, 0.8795502762426413, 0.8994490110008845, 1.101507948853926, 0.9990978774755696, 0.9822293792100577, 0.9846733950415388, 0.9056877923790806, 0.9632910561003133, 0.8727365758497618, 0.9524138247654547, 1.0611743557635647, 1.2182500948586386, 0.9239617739218959, 0.9122246086115867, 0.8671449926259496, 1.2828105750591383, 0.9019636575302289, 0.8764514361740735, 1.05933471559661, 1.0685968728690238, 1.0873344581700188, 0.9425476766351787, 1.004715898694514, 0.9311444072041708, 0.9712757157153238, 0.9665401557651371]",
The line is busy.txt,192131,1.010928988,0,0,0.529251004,"[0.0, 0.6888505881684825, 0.0, 0.7649064214784933, 0.8080758264570952, 0.0, 0.0, 0.6653023057479189, 0.7074494574809029, 0.0, 0.760377805320293, 0.0, 0.7551641869655279, 0.7314927049499738, 0.73336666956457, 0.7058574077709988, 0.0, 0.0, 0.0, 0.8037459379287913, 0.7998133717792018, 0.7087049901301573, 0.0, 0.7478338300764853, 0.7900348230401243, 0.7187089073719328, 0.0, 0.7175273753013863, 0.7204951399002284, 0.6989939885877536, 0.0, 0.6989600956267128, 0.7819136548300681, 0.8383367288555787, 0.7381442399957744, 0.7475744190714108, 0.7522190962357485, 0.7301285158994014, 0.7950050653892421, 0.8092021664472397, 0.781105456740131]",
The new life in Christ a study in personal religion.txt,550489,1,0,0,0.595783448,"[0.725148949591444, 0.7120610167086058, 0.1914332110477717, 0.48822297146821136, 0.0, 0.7569075138321001, 0.8094699156194294, 0.7423056017037271, 0.7746394066253622, 0.7627940372397952, 0.6714394985076605, 0.6203159698766153, 0.7834169198213422, 0.7445163761207864, 0.9013115769389813, 0.0, 0.0, 0.7558243865358719, 0.0, 0.7455094407323879, 0.6301900210385946, 0.0, 0.0, 0.5671113292684297, 0.6945125596201052, 0.7720199532803564, 0.7690117112456212, 0.0, 0.7617374728916974, 0.7578316904138949, 0.7428028137958179, 0.7424290012382587, 0.7955565348527635, 0.7442024705234032, 0.7846839541830875, 0.6611143913791325, 0.7918243901419328, 0.791814358176701, 0.7372364212430899, 0.7279204086847761, 0.7698051126596026]",
The philosophy of painting a study of the development of the art from prehistoric to modern times.txt,341904,0.98550725,0,0,0,,
